QuestionNumber|QuizQuestion|Option1|Option2|Option3|Option4|Answer
1|What is the primary goal of a data structure?|A) Store data for later retrieval|B) Execute instructions sequentially|C) Define hardware components|D) Define problem statements precisely|A
2|What term describes indivisible data?|A) Composite Data|B) Atomic Data|C) Scalar Data|D) Primitive Data|B
3|What does a data type primarily determine?|A) Number of steps in an algorithm|B) Kind of values a variable can store|C) Set of associations in a data structure|D) Number of seats in a movie theater|B
4|What is the main purpose of Abstract Data Types (ADT)?|A) Perform arithmetic operations|B) Define low-level data structures|C) Package data with meaningful operations|D) Optimize memory allocation|C
5|What is the definition of an algorithm?|A) Set of instructions to solve a problem|B) Data declaration with meaningful operations|C) Collection of related variables|D) Kind of data structure|A
6|How does algorithm efficiency affect real-world performance?|A) It increases memory usage|B) It decreases execution time|C) It has no impact|D) It enhances hardware components|B
7|What analogy explains the relationship between data, data structures, and algorithms?|A) Classroom organization|B) Movie theater seats and finding seats|C) Cooking recipes|D) Traffic flow management|B
8|What resources are crucial for measuring efficiency in computing?|A) Energy and speed|B) Time and space|C) Cost and materials|D) Voltage and frequency|B
9|What primarily represents Big O complexity?|A) Time and space balance|B) Maximum number of steps|C) Minimum number of steps|D) Average number of steps|A
10|What characteristic defines simple data types?|A) Can store only one value at a time|B) Can store multiple values at a time|C) Require complex algorithms for storage|D) Can't be manipulated|A
11|What is the primary function of a program in computing?|A) Process input to generate desired output|B) Define problem statements|C) Select suitable algorithms|D) Test and debug code|A
12|What is the primary aim of the Program Development Life Cycle?|A) Define problem statements|B) Debug code|C) Select suitable algorithms|D) Ensure software meets user needs|D
13|Which term describes data that can be broken down into subfields?|A) Atomic Data|B) Simple Data|C) Composite Data|D) Primitive Data|C
14|What is the significance of selecting the best suitable algorithm?|A) Increase memory usage|B) Enhance hardware components|C) Decrease execution time|D) Optimize code readability|C
15|What is the primary aim of an ADT?|A) Define problem statements|B) Optimize memory usage|C) Package data with meaningful operations|D) Implement low-level data structures|C
16|What is the primary goal of measuring efficiency in computing?|A) Increase memory usage|B) Decrease execution time|C) Improve code readability|D) Optimize hardware components|B
17|What term describes data stored for efficient search and retrieval?|A) Atomic Data|B) Composite Data|C) Simple Data|D) Structured Data|D
18|What does the best-case complexity of an algorithm represent?|A) Minimum number of steps|B) Maximum number of steps|C) Average number of steps|D) Time and space balance|A
19|What does the worst-case complexity of an algorithm represent?|A) Minimum number of steps|B) Maximum number of steps|C) Average number of steps|D) Time and space balance|B
20|What does the preprocessor do in C++ before the compiler runs?|A) Generates object code|B) Sets up the source code for the compiler|C) Executes program statements sequentially|D) Defines hardware components|A
21|In C++, what is the first line of the main function commonly referred to as?|A) Heading line|B) Initialization line|C) Declaration line|D) Definition line|A
22|How are the cin and cout objects typically declared for use in a C++ program?|A) #include <iostream>|B) using namespace std;|C) using std::cin; using std::cout;|D) using namespace iostream;|A
23|What preprocessor directive is used to include the string header file in a C++ program?|A) #include <string>|B) #include <iostream>|C) #include "string.h"|D) #include <cstring>|A
24|What is the primary purpose of the if statement in C++?|A) Execute a statement if a condition is true|B) Execute a statement if a condition is false|C) Execute multiple statements sequentially|D) Define hardware components|A
25|What is the general syntax of a switch structure in C++?|A) switch (condition) { case label: statements; break; default: statements; }|B) switch (condition) { case label: statements; default: statements; }|C) switch (expression) { case label: statements; break; default: statements; }|D) switch (expression) { case label: statements; default: statements; }|A
26|What is the primary purpose of the while loop in C++?|A) Execute a statement at least once|B) Repeat a statement based on a condition|C) Execute a statement for a fixed number of times|D) Execute a statement until a condition is false|B
